id,title,watched,release,rating,grade,actor,actorName,actorId,supporting,suppName,suppId,scene,sceneTitle,ending,movie
WWD,What We Do in the Shadows,2024,2014,8,A-,Second,Taika Waititi,TWA,Nominee,Jonny Brugh,JBR,,,,
ZDC,Zodiac,2024,2007,9,A,Nominee,Jake Gyllenhaal,JGY,Nominee,John Carroll Lynch,JCA,Nominee,Jake Hears Footsteps,Winner,Nominee
APM,All the President's Men,2025,1976,8,A-,Nominee,Robert Redford,RRD,,,,,,,
AHX,American History X,2025,1998,8,A-,,,,,,,,,Winner,
BIS,Best in Show,2025,2000,8,A-,,,,Nominee,John Michael Higgins,JMI,Nominee,Hostage Negotiator,,
BGN,Boogie Nights,2025,1997,6,B,,,,Nominee,Burt Reynolds,BRE,,,,
CDC,The Cabinet of Dr. Caligari,2025,1920,5,B-,,,,,,,,,,
CA4,Captain America: Brave New World,2025,2025,6,B,,,,,,,,,,
CHT,Chinatown,2025,1974,6,B,,,,,,,,,,
CON,Contact,2025,1997,9,A,,,,,,,,,Second,Nominee
CHD,"Crouching Tiger, Hidden Dragon",2025,2000,6,B,Nominee,Michelle Yeoh,MYE,,,,,,,
DRT,Do the Right Thing,2025,1989,7,B+,,,,Nominee,Danny Aiello,DAI,,,,
ESM,Eternal Sunshine of the Spotless Mind,2025,2004,9,A,Winner,Kate Winslet,KWI,,,,Nominee,In Joel's Mind,,Nominee
F1M,F1,2025,2025,4,C+,,,,,,,,,,
FFF,Fantastic Four: First Steps,2025,2025,7,B+,,,,,,,,,,
FGP,Forrest Gump,2025,1994,5,B-,,,,,,,,,,
IWL,It's a Wonderful Life,2025,1946,6,B,,,,,,,,,,
KB1,Kill Bill Vol. 1,2025,2003,5,B-,,,,,,,,,,
LVA,Love Actually,2025,2003,6,B,,,,,,,,,,
MRM,Marathon Man,2025,1976,7,B+,,,,,,,Nominee,Diamond District,,
TMM,The Mummy,2025,1999,7,B+,,,,,,,,,,
NLC,National Lampoon's Christmas Vacation,2025,1989,3,C,,,,,,,,,,
CKN,One Flew Over the Cuckoo's Nest,2025,1975,6,B,,,,,,,,,,
PRN,Prisoners,2025,2013,6,B,,,,,,,,,,
RGB,Raging Bull,2025,1980,4,C+,,,,,,,,,,
RBS,The Real Bros of Simi Valley: The Movie,2025,2025,8,A-,Nominee,Jimmy Tatro,JTA,,,,,,,
SOL,Silence of the Lambs,2025,1991,10,A+,Nominee,Jodie Foster,JFO,Winner,Anthony Hopkins,AHO,Winner,Lecter Escapes,Nominee,Winner
SIN,Sinners,2025,2025,8,A-,Second,Michael B. Jordan,MBJ,Nominee,Miles Caton,MCA,,,Nominee,
STA,State and Main,2025,2000,8,A-,,,,Second,Alec Baldwin,ABA,,,,Nominee
TM2,Terminator 2: Judgment Day,2025,1991,5,B-,,,,,,,,,,
THG,The Thing,2025,1982,7,B+,,,,,,,,,,
THN,Thunderbolts,2025,2025,7,B+,,,,,,,,,,
TIT,Titanic,2025,1997,9,A,,,,,,,Second,Draw Me Like One of Your French Girls,,Second
TG1,Top Gun,2025,1986,5,B-,,,,,,,,,,
TG2,Top Gun: Maverick,2025,2022,9,A,,,,,,,Nominee,Final Mission,Nominee,Nominee
VRT,Vertigo,2025,1958,7,B+,,,,,,,,,Nominee,
KO3,Wake Up Dead Man: A Knives Out Mystery,2025,2025,6,B,,,,,,,,,,
ZO2,Zootopia 2,2025,2025,5,B-,,,,,,,,,,
